RMSE-RNN,RMSE-LM,RMSLE-RNN,RMSLE-LM
0.051518530413134,0.078519516464133,0.04439856,0.07170291
0.031564082248256,0.029613192909448,0.030897625,0.028959999
0.020670870546641,0.034413676083828,0.020434385,0.033120155
0.041968982406166,0.008570458791669,0.040972263,0.0082316175
0.085624292041817,0.013349443558819,0.080470055,0.012127593
0.035762592976363,0.011385824644203,0.034992263,0.010888413
0.000746809312697,0.004414390808833,0.0007465306,0.004404676
0.067684090917468,0.038944006549304,0.059542745,0.032718495
0.012900961561694,0.018266893644274,0.012572492,0.017848708
0.02439449718418,0.085005879847431,0.019353181,0.069125384
0.035142168894094,0.031102508561556,0.029557228,0.026114777
0.000452470962209,0.008830262433479,0.00044996338,0.008744944
0.061733692659997,0.04945516657796,0.047964588,0.038239613
0.013877183395001,0.023716226619046,0.011922434,0.020462483
0.275474008151896,0.303331794693384,0.18433785,0.20502055
0.01231277383185,0.015588924085513,0.011587754,0.0146937445
0.097269833906486,0.107947110196387,0.07327877,0.08165963
0.036604925401144,0.027149275211061,0.031761065,0.023459539
0.014301393151966,0.013460814843979,0.013421476,0.012627613
0.006910271977379,0.015193156711389,0.006149642,0.01365529
0.003790361864123,0.005710407182413,0.00376833,0.00567181
0.021105490310345,0.011867202538647,0.019241892,0.010773741
0.023543752786035,0.016936198192943,0.020815931,0.014930069
0.010912045713533,0.009700801397806,0.0104015395,0.009241607
0.000707074985835,0.012985743860979,0.00062327087,0.011509217
0.017729141145991,0.015594788023909,0.015746519,0.013837665
0.045449941905604,0.047547160425122,0.036929443,0.03866686
0.012287147590661,0.014611862635878,0.011216544,0.013352923
0.014506649210655,0.008799936518334,0.013851799,0.00837978
0.018213853638018,0.031032070585083,0.0150322765,0.02574855
0.015243068226025,0.026910044744975,0.013427421,0.023827925
0.037774994553267,0.048755883181285,0.030596837,0.03966959
0.038421199090182,0.05362981609037,0.031128481,0.043723106
0.018034368538091,0.008983910104137,0.017352208,0.0086064525
0.353853306799693,0.370627964226639,0.22924015,0.24152914
0.454028823112993,0.497048173272737,0.28262648,0.3140618
0.454608380096495,0.495946291537322,0.2830435,0.31324416
0.010487012483955,0.013911224992064,0.009659603,0.01283396
0.011795915544292,0.007308971160131,0.011282835,0.006976042
0.233563241274022,0.236122909224641,0.16178018,0.16370648
0.012935888163688,0.010909222192492,0.012484087,0.01051788
0.008632279782559,0.006620165040985,0.008313466,0.0063694753
0.018740259312647,0.016020551365796,0.01653365,0.014117159
0.017415158843967,0.015064284420454,0.015935205,0.013769224
0.023754626799064,0.026125162475696,0.020101085,0.022129372
0.012833759086841,0.008916121059966,0.01235174,0.008565042
0.010017864582361,0.011278412937026,0.009267405,0.010439627
0.009844414815918,0.010385863418212,0.009021856,0.009520434
0.02096419003609,0.037497059202616,0.017527148,0.03156945
0.023098126449634,0.015162885164572,0.020262815,0.0132552385
1.97021288678835E-05,0.002645574546429,1.9480474E-05,0.0026124343
0.011364430050292,0.014747761223948,0.0101964995,0.013252318
0.00756163524324,0.007042486235046,0.007259153,0.0067590848
0.171701940194473,0.192678447072709,0.12121159,0.13707986
0.016963664078689,0.018974781222113,0.015877355,0.017776508
0.004915883714185,0.000302890314226,0.0048309993,0.0002968982
0.008244797694569,0.009312171407147,0.0077721924,0.008782815
0.004354417401983,0.011909376726753,0.0040674657,0.011164051
0.03014089908427,0.022189885125859,0.026523657,0.019086838
0.011681650091143,0.018967538692721,0.0110678375,0.017713979
0.015430970059429,0.014469148739956,0.015056731,0.014111582
0.00759897389982,0.016290568088057,0.007081203,0.015242536
0.018443364995143,0.014844197792746,0.017407816,0.013986852
0.017569884381945,0.013804971984304,0.01607792,0.0126108825
0.019616216381804,0.011198051457832,0.018307216,0.010409713
0.003670519742721,0.003249178612919,0.003649402,0.0032311608
0.036077395677733,0.0378817316807,0.028756037,0.030216157
0.021079614630608,0.022257529112818,0.019110076,0.020188786
0.184616749083882,0.195705952119489,0.13095152,0.13939103
0.010551277484668,0.006767232092699,0.010171015,0.006511435
0.043905824562893,0.034684806750856,0.03615795,0.028454915
0.016091838209245,0.012843906683449,0.014993228,0.011948876
0.041797742210732,0.05585525954365,0.03339246,0.04487841
0.005598543267184,0.007655156747292,0.0054604094,0.007473793
0.009193435447332,0.005794081881296,0.008901212,0.005600672
0.012512408231653,0.010831840442588,0.0115884915,0.01002419
0.014848694283754,0.013683669503465,0.013570823,0.012499377
0.019215852048402,0.014863334832208,0.017503932,0.013512254
0.014468945583049,0.007701516202171,0.012832239,0.0068098307
0.01029467566966,0.006182365124553,0.009895887,0.005931124
0.015070438437816,0.022342413219565,0.012833908,0.019086108
0.025146544558259,0.036688507337973,0.020813867,0.030514196
0.029085710587706,0.032594755733943,0.024400577,0.027385041
0.019329517856972,0.015228301107496,0.017792098,0.013990529
0.012185028034478,0.00345547119556,0.011785552,0.0033280998
0.012332189994593,0.006204240098097,0.011562701,0.0058004037
